DATAFLOW,FREQ,INDICATOR,GEO_PICT,SEX,AGE,URBANIZATION,INCOME,EDUCATION,OCCUPATION,COMPOSITE_BREAKDOWN,DISABILITY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,REPORTING_TYPE,NATURE,DATA_SOURCE,OBS_STATUS,OBS_COMMENT,source_file
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,F,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2015,53.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,F,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2018,57.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,F,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2015,71.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,F,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2018,64.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,F,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2015,61.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,F,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2018,85.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,M,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2015,44.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,M,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2018,44.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2012,85.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2015,75.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2018,65.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2012,71.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2015,60.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2018,67.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2021,93.0,PERCENT,R,C,"Pacific Islands Literacy and Numeracy Assessment (PILNA), 2021 Assessment.",,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,M,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2015,60.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,M,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2018,35.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2012,54.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2015,49.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2018,50.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,F,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2015,77.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,F,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2018,88.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2012,82.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2015,69.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2018,62.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2021,90.0,PERCENT,R,C,"Pacific Islands Literacy and Numeracy Assessment (PILNA), 2021 Assessment.",,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,M,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2015,80.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,M,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2018,67.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,M,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2015,58.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,M,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2018,48.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,TO,F,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2015,84.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,TO.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,TO,F,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2018,86.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,TO.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,TO,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2015,35.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,TO.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,TO,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2018,47.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,TO.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,TO,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2021,30.0,PERCENT,R,C,"Pacific Islands Literacy and Numeracy Assessment (PILNA), 2021 Assessment.",,,TO.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,TO,M,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2015,75.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,TO.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,TO,M,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2018,78.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,TO.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,TO,F,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2015,44.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,TO.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,TO,F,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2018,59.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,TO.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,TO,F,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2015,63.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,TO.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,TO,F,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2018,72.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,TO.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,TO,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2015,55.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,TO.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,TO,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2018,62.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,TO.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,TO,M,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2015,80.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,TO.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,TO,M,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2018,89.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,TO.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,TO,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2015,83.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,TO.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,TO,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2018,92.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,TO.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,TO,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2021,87.0,PERCENT,R,C,"Pacific Islands Literacy and Numeracy Assessment (PILNA), 2021 Assessment.",,,TO.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,TO,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2015,79.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,TO.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,TO,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2018,82.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,TO.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,TO,M,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2015,42.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,TO.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,TO,M,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2018,53.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,TO.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,TO,F,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2015,87.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,TO.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,TO,F,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2018,95.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,TO.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,TO,M,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2015,26.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,TO.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,TO,M,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2018,36.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,TO.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,F,_T,_T,_T,1_g5,_T,SKILL_MIN_NMRCY,_T,2015,81.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,F,_T,_T,_T,1_g5,_T,SKILL_MIN_NMRCY,_T,2018,87.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,M,_T,_T,_T,1_g7,_T,SKILL_MIN_LTRCY,_T,2015,55.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,M,_T,_T,_T,1_g7,_T,SKILL_MIN_LTRCY,_T,2018,58.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,_T,_T,_T,_T,1_g7,_T,SKILL_MIN_NMRCY,_T,2012,64.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,_T,_T,_T,_T,1_g7,_T,SKILL_MIN_NMRCY,_T,2015,61.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,_T,_T,_T,_T,1_g7,_T,SKILL_MIN_NMRCY,_T,2018,77.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,_T,_T,_T,_T,1_g7,_T,SKILL_MIN_NMRCY,_T,2021,57.0,PERCENT,R,C,"Pacific Islands Literacy and Numeracy Assessment (PILNA), 2021 Assessment.",,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,M,_T,_T,_T,1_g5,_T,SKILL_MIN_LTRCY,_T,2015,26.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,M,_T,_T,_T,1_g5,_T,SKILL_MIN_LTRCY,_T,2018,50.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,_T,_T,_T,_T,1_g5,_T,SKILL_MIN_NMRCY,_T,2012,69.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,_T,_T,_T,_T,1_g5,_T,SKILL_MIN_NMRCY,_T,2015,79.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,_T,_T,_T,_T,1_g5,_T,SKILL_MIN_NMRCY,_T,2018,85.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,F,_T,_T,_T,1_g7,_T,SKILL_MIN_LTRCY,_T,2015,64.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,F,_T,_T,_T,1_g7,_T,SKILL_MIN_LTRCY,_T,2018,70.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,F,_T,_T,_T,1_g7,_T,SKILL_MIN_NMRCY,_T,2015,66.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,F,_T,_T,_T,1_g7,_T,SKILL_MIN_NMRCY,_T,2018,79.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,M,_T,_T,_T,1_g7,_T,SKILL_MIN_NMRCY,_T,2015,57.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,M,_T,_T,_T,1_g7,_T,SKILL_MIN_NMRCY,_T,2018,76.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,F,_T,_T,_T,1_g5,_T,SKILL_MIN_LTRCY,_T,2015,36.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,F,_T,_T,_T,1_g5,_T,SKILL_MIN_LTRCY,_T,2018,57.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,M,_T,_T,_T,1_g5,_T,SKILL_MIN_NMRCY,_T,2015,78.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,M,_T,_T,_T,1_g5,_T,SKILL_MIN_NMRCY,_T,2018,82.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,_T,_T,_T,_T,1_g5,_T,SKILL_MIN_LTRCY,_T,2012,31.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,_T,_T,_T,_T,1_g5,_T,SKILL_MIN_LTRCY,_T,2015,31.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,_T,_T,_T,_T,1_g5,_T,SKILL_MIN_LTRCY,_T,2018,53.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,_T,_T,_T,_T,1_g7,_T,SKILL_MIN_LTRCY,_T,2012,55.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,_T,_T,_T,_T,1_g7,_T,SKILL_MIN_LTRCY,_T,2015,59.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,_T,_T,_T,_T,1_g7,_T,SKILL_MIN_LTRCY,_T,2018,64.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,_T,_T,_T,_T,1_g7,_T,SKILL_MIN_LTRCY,_T,2021,51.0,PERCENT,R,C,"Pacific Islands Literacy and Numeracy Assessment (PILNA), 2021 Assessment.",,,MH.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,VU,M,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2015,23.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,VU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,VU,M,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2018,24.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,VU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,VU,F,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2015,62.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,VU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,VU,F,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2018,73.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,VU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,VU,M,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2015,50.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,VU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,VU,M,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2018,59.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,VU.csv
