STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,INDICATOR,Indicator,GEO_PICT,Pacific Island Countries and territories,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,INCOME,Income,EDUCATION,Education level,OCCUPATION,Occupation,COMPOSITE_BREAKDOWN,Composite breakdown,DISABILITY,Disability,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,REPORTING_TYPE,Reporting type,NATURE,Nature,DATA_SOURCE,Data source,OBS_STATUS,Observation Status,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",WS,Samoa,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2011,,29.7,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",WS,Samoa,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2012,,25.4,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",WS,Samoa,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2014,,25.6,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",WS,Samoa,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2015,,31,,PERCENT,percent,R,Regional,C,Country Data,SPC-NMDI,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",WS,Samoa,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2016,,29.8,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",WS,Samoa,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2017,,35.1,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",WS,Samoa,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2018,,41.9,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",WS,Samoa,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,58,,PERCENT,percent,N,National,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",WS,Samoa,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2021,,32.69,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute for Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",WS,Samoa,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2022,,33.79,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute for Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",VU,Vanuatu,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,94.62,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",VU,Vanuatu,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2020,,96.18,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",VU,Vanuatu,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2021,,86.06,,PERCENT,percent,N,National,C,Country Data,"Ministry of Education, Statistical Report 2021, Vanuatu Government",,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",VU,Vanuatu,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2022,,80.37,,PERCENT,percent,N,National,C,Country Data,"Ministry of Education, Statistical Digest 2022, Vanuatu Government",,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",TO,Tonga,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2020,,88.91,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",TO,Tonga,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2022,,81.99,,PERCENT,percent,N,National,C,Country Data,UNESCO Institute for Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",WS,Samoa,_T,Total,_T,All ages,R,Rural,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,54,,PERCENT,percent,N,National,C,Country Data,"Samoa Bureau of Statistics. 2021 Samoa Demographic and Health - Multiple Indicator Cluster Survey 2019-20, Survey Findings Report. Apia, Samoa: Samoa Bureau of Statistics.",,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",PG,Papua New Guinea,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2016,,71.1,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",PG,Papua New Guinea,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2018,,66.47,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute for Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",NR,Nauru,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2012,,100,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",NR,Nauru,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2014,,61.6,,PERCENT,percent,N,National,C,Country Data,Nauru Ministry of Education,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",NR,Nauru,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2016,,67.3,,PERCENT,percent,N,National,C,Country Data,Nauru Ministry of Education,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",NR,Nauru,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,89.2,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",NR,Nauru,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2020,,70.95,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute for Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",SB,Solomon Islands,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2013,,60.6,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",SB,Solomon Islands,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2014,,63.8,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",SB,Solomon Islands,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2015,,63.8,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",SB,Solomon Islands,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2018,,60.1,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",SB,Solomon Islands,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,67.02,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",NR,Nauru,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2012,,88.1,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",NR,Nauru,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2014,,71.2,,PERCENT,percent,N,National,C,Country Data,Nauru Ministry of Education,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",NR,Nauru,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2016,,74.8,,PERCENT,percent,N,National,C,Country Data,Nauru Ministry of Education,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",NR,Nauru,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,94.5,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",NR,Nauru,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2020,,75.57,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute for Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",NR,Nauru,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2023,,78,,PERCENT,percent,N,National,C,Country Data,"Nauru Bureau of Statistics. 2024. Nauru Multiple Indicator Cluster Survey 2023, Survey Findings Report.",,A,Normal value,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",CK,Cook Islands,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2013,,100,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",CK,Cook Islands,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2014,,100,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",CK,Cook Islands,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2015,,100,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",CK,Cook Islands,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2016,,100,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",CK,Cook Islands,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,100,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",CK,Cook Islands,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2020,,100,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",CK,Cook Islands,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2021,,75.7,,PERCENT,percent,N,National,C,Country Data,UNESCO Institute for Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",CK,Cook Islands,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2022,,74.6,,PERCENT,percent,N,National,C,Country Data,UNESCO Institute for Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",WS,Samoa,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2010,,22.8,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",WS,Samoa,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2011,,27.1,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",WS,Samoa,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2012,,23.8,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",WS,Samoa,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2014,,30.3,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",WS,Samoa,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2015,,30.1,,PERCENT,percent,R,Regional,C,Country Data,SPC-NMDI,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",WS,Samoa,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2016,,27.5,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",WS,Samoa,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2017,,31.4,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",WS,Samoa,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2018,,34.3,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",WS,Samoa,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,52,,PERCENT,percent,N,National,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",WS,Samoa,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2021,,29.86,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute for Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",WS,Samoa,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2022,,29.1,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute for Statistics,,,,,
